강릉, ,20 이상, , ,24.6,18.2,26.2, ,68,북동,,1011.8
강진군, ,20 이상, , ,21.8,20.0,24.9,3.0,90,북동,,1007.4
강화, ,10.4, , ,23.6,18.4,25.5, ,73,동북동,,1011.0
거제, ,19.6, , ,22.8,19.5,25.4,6.6,82,동북동,,1009.1
거창, ,19.4, , ,19.0,17.6,22.1,2.8,92,정온,,1009.5
경주시, ,13.0, , ,20.8,19.2,23.9,6.3,91,북북동,,1010.5
고산, ,20 이상, , ,25.4,24.7,29.0,14.2,96,북동,,1006.6
고창, ,20 이상, , ,24.5,21.0,27.0,6.4,81,북북서,,1008.4
고창군,구름많음,20 이상,8,8,23.6,19.5,25.9,7.8,78,북북서,,1008.2
고흥, ,20 이상, , ,21.4,19.8,24.5,2.3,91,북동,,1008.2
광양시, ,11.5, , ,21.6,18.9,24.3,0.2,85,북북동,,1008.9
광주,비 끝,20 이상,9,9,22.6,22.4,26.3,0.8,99,북동,,1008.3
구미, ,20 이상, , ,21.4,17.7,23.8,0.3,80,북북동,,1010.5
군산,맑음,20 이상,1,0,24.3,18.6,26.1,0.0,71,북,,1009.5
금산, ,20 이상, , ,22.3,17.2,24.2, ,73,동남동,,1009.8
김해시, ,10.4, , ,23.6,19.9,26.0, ,80,서북서,,1009.7
남원, ,20 이상, , ,22.0,17.7,24.2, ,77,동북동,,1008.8
남해, ,20 이상, , ,20.3,18.5,23.3,3.8,90,북,,1009.2
대관령, ,19.5, , ,17.8,12.6,19.6, ,72,동,,1011.0
대구,비 끝,20 이상,10,7,21.0,18.9,23.9,2.5,88,남남동,,1010.1
대전,구름많음,20 이상,6,6,24.8,18.7,26.5, ,69,남동,,1009.8
동두천, ,20 이상, , ,24.4,18.5,26.1, ,70,북북서,,1010.5
동해, ,20 이상, , ,23.3,17.9,25.2, ,72,북북동,,1011.6
목포,구름많음,19.6,7,7,23.3,20.4,26.0,0.2,84,동남동,,1008.2
문경, ,20 이상, , ,22.4,16.8,24.2, ,71,동,,1009.9
밀양, ,18.8, , ,21.6,19.1,24.4,1.0,86,서,,1009.0
백령도,맑음,12.4,1,1,23.5,20.0,26.0, ,81,동,,1008.6
보령, ,20 이상, , ,25.0,17.9,26.4, ,65,북동,,1008.2
보은, ,20 이상, , ,23.2,16.4,24.6, ,66,북동,,1009.8
봉화, ,20 이상, , ,20.5,13.2,21.7,0.2,63,북동,,1010.6
부산,흐림,20 이상,10,4,23.5,19.4,25.8,0.8,78,북동,,1007.6
부안, ,20 이상, , ,24.6,19.6,26.6,0.0,74,북동,,1009.2
부여, ,19.8, , ,24.8,18.2,26.3, ,67,동북동,,1010.0
북강릉,구름조금,20 이상,5,5,21.9,17.2,24.0, ,75,서,,1011.2
북창원, ,20 이상, , ,22.1,19.4,24.8,0.1,85,북서,,1009.2
북춘천,맑음,20 이상,2,2,24.5,15.4,25.2, ,57,동북동,,1010.6
산청, ,6.5, , ,19.1,18.6,22.6,1.3,97,북,,1010.4
상주, ,20 이상, , ,22.2,18.9,24.7, ,82,남서,,1010.5
서귀포,맑음,20 이상,2,2,26.5,23.9,29.4,87.0,86,동북동,,1006.3
서산, ,20 이상, , ,24.9,16.8,25.9, ,61,동북동,,1009.7
서울,맑음,20 이상,1,1,25.1,17.5,26.3, ,63,동북동,,1009.8
성산, ,20 이상, , ,24.5,21.8,27.3,26.6,85,북동,,1007.0
세종, ,16.7, , ,25.4,16.2,26.1, ,57,동,,1009.2
속초, ,20 이상, , ,23.8,19.5,26.0, ,77,북북동,,1011.8
수원,맑음,20 이상,2,2,25.7,18.3,27.0, ,64,동,,1010.0
순창군, ,20 이상, , ,22.1,18.6,24.6,0.4,81,동남동,,1009.0
순천, ,19.7, , ,22.0,19.9,25.0,0.0,88,남서,,1007.7
안동,흐림,20 이상,10,8,22.5,16.7,24.2, ,70,동남동,,1010.8
양산시, ,14.5, , ,22.8,20.1,25.6, ,85,동북동,,1008.8
양평, ,19.4, , ,23.3,17.2,24.9, ,69,남,,1011.0
여수,구름많음,20 이상,7,7,22.1,18.4,24.5,1.7,80,북동,,1008.4
영광군, ,17.5, , ,23.7,20.4,26.3,6.1,82,북,,1008.4
영덕, ,20 이상, , ,21.6,18.3,24.1, ,82,북북동,,1010.7
영월, ,20 이상, , ,25.2,16.0,25.9, ,57,동남동,,1009.9
영주, ,19.8, , ,22.4,16.4,24.0, ,69,남동,,1010.6
영천, ,20 이상, , ,21.2,18.9,24.1,1.9,87,동북동,,1010.6
완도, ,20 이상, , ,22.1,20.5,25.3,3.0,91,북동,,1008.4
울릉도,약한 비 단속적,19.5,8,6,21.7,19.2,24.5,0.0,86,동,,1010.4
울산,약한 비 단속적,20 이상,10,8,21.0,20.6,24.6,1.2,98,북북서,,1009.4
울진, ,20 이상, , ,23.5,18.5,25.5, ,74,북북서,,1011.4
원주, ,19.1, , ,23.3,16.0,24.6, ,64,북동,,1009.9
의령군, ,2.8, , ,20.7,19.5,23.9,1.1,93, ,,1009.9
의성, ,20 이상, , ,21.9,18.0,24.2,0.0,79,북북동,,1009.3
이천, ,19.6, , ,23.8,18.2,25.6, ,71,북동,,1010.5
인제, ,20 이상, , ,22.5,16.2,24.1, ,68,동,,1011.2
인천,구름조금,20 이상,3,1,25.8,14.8,26.0, ,51,남동,,1009.7
임실, ,20 이상, , ,21.7,18.6,24.3,3.1,83,남남동,,1008.8
장수, ,20 이상, , ,20.1,18.4,23.1,1.4,90,북,,1009.0
장흥, ,20 이상, , ,21.8,20.0,24.9,1.0,90,정온,,1008.2
전주,구름많음,20 이상,6,6,23.3,17.7,25.1,0.2,71,동,,1008.6
정선군, ,12.2, , ,24.5,12.4,24.4, ,47,남동,,1010.6
정읍, ,20 이상, , ,22.9,19.4,25.4,2.8,81,남남동,,1008.4
제주,약한 비 연속적,5.3,10,6,23.7,23.5,27.5,21.6,99,북동,,1007.7
제천,맑음,19.3,0,0,23.2,16.7,24.7, ,67,동,,1010.1
진도군, ,19.8, , ,22.8,21.4,26.0,1.6,92,북동,,1007.4
진주, ,20 이상, , ,20.1,19.0,23.4,0.5,94,북북서,,1009.7
창원,흐림,20 이상,10,8,22.3,18.0,24.5,0.1,77,북북동,,1008.7
천안, ,20 이상, , ,23.8,16.5,25.1, ,64,동남동,,1010.4
철원, ,20 이상, , ,23.8,17.7,25.4, ,69,북동,,1010.5
청송군, ,20 이상, , ,21.0,17.4,23.4,0.5,80,동남동,,1010.9
청주,맑음,20 이상,0,0,25.2,16.0,25.9, ,57,동남동,,1009.8
추풍령, ,20 이상, , ,20.2,16.4,22.5,0.1,79,동북동,,1010.0
춘천, ,20 이상, , ,24.0,14.9,24.7, ,57,북동,,1010.8
충주, ,19.7, , ,24.0,17.0,25.4, ,65,동남동,,1009.9
태백, ,20 이상, , ,17.9,14.3,20.2,0.8,80,동북동,,1010.3
통영, ,20 이상, , ,23.6,20.1,26.1,5.7,81,북,,1008.6
파주, ,16.8, , ,22.2,18.7,24.7, ,81,북동,,1010.9
포항,비 끝,20 이상,10,7,22.1,20.0,25.1,0.5,88,북동,,1010.4
함양군, ,9.3, , ,19.4,17.7,22.4,1.4,90,동,,1010.2
합천, ,7.7, , ,20.1,19.6,23.6,3.1,97,동북동,,1009.9
해남, ,3.9, , ,21.2,20.1,24.5,0.5,94,동,,1008.4
홍성,맑음,20 이상,0,0,24.3,17.5,25.7, ,66,북동,,1009.6
홍천, ,20 이상, , ,23.6,15.3,24.6, ,60,동북동,,1010.7
흑산도,구름많음,20 이상,7,7,23.7,22.1,26.9,0.7,91,북동,,1007.8
